'src_bytes',service','dst_bytes','flag','diff_srv_rate','same_srv_rate','dst_host_srv_count','dst_host_same_srv_rate',,,,'src_bytes','service',dst_bytes','flag','diff_srv_rate','same_srv_rate','dst_host_srv_count','dst_host_same_srv_rate'
0,smtp,83,SF,0,1,146,0.8,,,,4.98E-06,0.047619048,0.006358443,0.2,0,1,1,1
307,http,484,SF,0,1,255,1,,,,4.54E-06,0.047619048,0.019871806,0.2,0,1,1,1
320,http,1667,SF,0,1,253,1,,,,4.66E-06,0.047619048,0.000572839,0.2,0,1,1,1
0,csnet_ns,0,REJ,0.06,0.01,3,0.01,,,,6.41E-05,0.079365079,0.00024667,0.2,0,1,0.4,0.56
215,http,430,SF,0,1,255,1,,,,7.00E-07,0.174603175,3.27E-05,0.2,0,1,1,1
358,http,3691,SF,0,1,255,1,,,,4.36E-06,0.047619048,0.008560643,0.2,0,1,1,1
0,telnet,15,SF,0,1,67,0.26,,,,0.000003263,0.047619048,0.000295707,0.2,0,1,1,1
270,http,1332,SF,0,1,255,1,,,,7.00E-07,0.174603175,3.27E-05,0.2,0,1,0.996078431,1
337,http,283,SF,0,1,255,1,,,,7.16E-07,0.174603175,3.34E-05,0.2,0.01,1,0.996078431,1
0,private,0,REJ,0.06,0.07,19,0.07,,,,6.19E-06,0.047619048,0.000795734,0.2,0,1,1,1
0,private,0,REJ,0.07,0.03,6,0.02,,,,0.000359216,0.079365079,0.000250385,0.2,0,1,0.698039216,0.77
1480,ecr_i,0,SF,0,1,25,1,,,,5.11E-06,0.047619048,0.002535799,0.2,0,1,1,1
219,http,1310,SF,0,1,251,1,,,,7.00E-07,0.174603175,3.27E-05,0.2,0,1,0.941176471,0.94
258,http,1012,SF,0,1,255,1,,,,5.73E-06,0.73015873,0.000870775,0.2,0,1,0.349019608,0.35
324,http,1093,SF,0,1,255,1,,,,0.000003454,0.047619048,0.000496312,0.2,0,1,0.905882353,1
0,finger,0,RSTO,0.07,0.33,62,0.24,,,,3.14E-06,0.047619048,0.004722396,0.2,0,1,1,1
0,pop_3,36,RSTO,1,0.33,60,0.24,,,,4.46E-06,0.047619048,0.000225124,0.2,0,1,0.980392157,0.98
236,http,10503,SF,0,1,255,1,,,,5.62E-06,0.047619048,0.000893808,0.2,0,1,1,1
1699,ftp_data,0,SF,0,1,7,0.19,,,,3.74E-06,0.047619048,0.000260787,0.2,0,1,1,1
327,http,910,SF,0,1,255,1,,,,5.19E-06,0.047619048,0.002928836,0.2,0,1,1,1
303,http,2789,SF,0,1,255,1,,,,5.19E-06,0.047619048,0.000878948,0.2,0,1,0.674509804,1
0,private,0,REJ,0.06,0.04,4,0.02,,,,1.67E-06,0.063492063,0,0.2,0,1,0.2,0.98
0,other,0,REJ,0,1,13,0.05,,,,4.50E-06,0.047619048,0.002347824,0.2,0,1,1,1
28,pop_3,93,SF,0,1,254,1,,,,5.25E-07,0.174603175,0,0.2,0,1,0.043137255,0.04
0,smtp,83,SF,0,1,25,0.23,,,,3.61E-06,0.047619048,0.001262327,0.2,0,1,1,1
282,http,4532,SF,0,1,255,1,,,,3.36E-06,0.047619048,0.010557779,0.2,0,1,1,1
44,domain_u,113,SF,0,1,253,0.99,,,,3.66E-06,0.047619048,0.000242955,0.2,0,1,1,1
0,private,0,SH,0,1,1,0.03,,,,8.44E-07,0.063492063,3.71E-05,0.2,0,1,1,1
0,uucp,0,RSTO,0.07,0.06,7,0.03,,,,4.11E-06,0.047619048,0.001491166,0.2,0,1,1,1
0,other,0,S0,1,0,1,0,,,,4.39E-06,0.047619048,0.001465904,0.2,0,1,1,1
26,ftp,157,SF,0,1,71,0.46,,,,7.00E-07,0.174603175,5.28E-05,0.2,0.01,0.99,0.996078431,1
0,private,0,REJ,0.07,0.03,6,0.02,,,,6.84E-07,0.047619048,0.000574325,0.2,0,1,1,1
0,private,0,REJ,0.08,0.14,15,0.06,,,,3.66E-06,0.047619048,0.000242955,0.2,0,1,1,1
995,smtp,330,SF,0,1,42,0.66,,,,8.44E-07,0.063492063,3.71E-05,0.2,0,1,1,1
0,private,0,REJ,0.07,0.05,12,0.05,,,,4.11E-06,0.047619048,0.001491166,0.2,0,1,1,1
197,telnet,1608,SF,0,1,32,0.13,,,,4.39E-06,0.047619048,0.001465904,0.2,0,1,1,1
197,http,1830,SF,0,1,229,1,,,,7.00E-07,0.174603175,5.28E-05,0.2,0.01,0.99,0.996078431,1
0,private,0,REJ,0.06,0.09,10,0.04,,,,6.84E-07,0.047619048,0.000574325,0.2,0,1,1,1
230,http,843,SF,0,1,255,1,,,,,,,,,,,
161,http,14086,SF,0,1,151,1,,,,,,,,,,,
0,private,0,REJ,0.07,0.07,15,0.06,,,,,,,,,,,
0,telnet,15,SF,0,1,69,0.27,,,,,,,,,,,
0,telnet,15,SF,0,1,60,0.24,,,,,,,,,,,
224,http,278,SF,0,1,255,1,,,,,,,,,,,
0,private,0,S0,0.07,0.08,20,0.08,,,,,,,,,,,
321,http,372,SF,0,1,255,1,,,,,,,,,,,
1032,ecr_i,0,SF,0,1,254,1,,,,,,,,,,,
0,whois,0,REJ,0.06,0.06,17,0.07,,,,,,,,,,,
48,private,0,SF,0,1,254,1,,,,,,,,,,,
303,http,289,SF,0,1,255,1,,,,,,,,,,,
508,ecr_i,0,SF,0,1,192,0.75,,,,,,,,,,,
0,private,0,SH,0,1,1,0.01,,,,,,,,,,,
0,private,0,REJ,0.05,0.09,12,0.05,,,,,,,,,,,
8,finger,447,SF,0,1,10,0.04,,,,,,,,,,,
43,domain_u,78,SF,0.01,1,254,1,,,,,,,,,,,
124,telnet,174,SF,0,1,255,1,,,,,,,,,,,
0,private,0,REJ,0.07,0.01,2,0.01,,,,,,,,,,,
257,http,633,SF,0,1,255,1,,,,,,,,,,,
42,domain_u,42,SF,0,1,220,1,,,,,,,,,,,
42,domain_u,42,SF,0,1,255,1,,,,,,,,,,,
219,http,5881,SF,0,1,255,1,,,,,,,,,,,
0,telnet,44,S3,0,1,117,0.46,,,,,,,,,,,
260,http,4027,SF,0,1,255,1,,,,,,,,,,,
0,telnet,44,SF,0,1,169,0.66,,,,,,,,,,,
357,http,247,SF,0,1,255,1,,,,,,,,,,,
0,private,0,REJ,0.06,0.09,19,0.07,,,,,,,,,,,
43,private,0,SF,0,1,254,1,,,,,,,,,,,
0,imap4,44,RSTO,0.67,0.33,59,0.24,,,,,,,,,,,
218,http,287,SF,0,1,255,1,,,,,,,,,,,
290,http,2267,SF,0,1,254,1,,,,,,,,,,,
42,domain_u,42,SF,0,1,252,0.99,,,,,,,,,,,
0,private,0,REJ,0.06,0.04,5,0.02,,,,,,,,,,,
0,private,0,REJ,0.07,0.03,7,0.03,,,,,,,,,,,
72564,http,0,RSTR,0,1,237,0.93,,,,,,,,,,,
8,eco_i,0,SF,0,1,98,1,,,,,,,,,,,
0,telnet,0,S0,0,1,85,0.34,,,,,,,,,,,
0,private,0,REJ,0.06,0.05,5,0.02,,,,,,,,,,,
244,http,8745,SF,0,1,255,1,,,,,,,,,,,
0,telnet,44,SF,0,1,191,0.75,,,,,,,,,,,
124,telnet,188,RSTO,0,1,254,1,,,,,,,,,,,
0,private,0,S0,0.06,0.04,8,0.03,,,,,,,,,,,
1480,ecr_i,0,SF,0,1,23,0.01,,,,,,,,,,,
2599,smtp,293,SF,0,1,203,0.8,,,,,,,,,,,
226,http,651,SF,0,1,255,1,,,,,,,,,,,
0,private,0,REJ,0.06,0.04,11,0.04,,,,,,,,,,,
0,telnet,15,SF,0,1,19,0.07,,,,,,,,,,,
0,mtp,0,REJ,0.06,0.06,18,0.07,,,,,,,,,,,
0,netbios_ns,0,S0,0.08,0.11,19,0.07,,,,,,,,,,,
0,private,0,S0,0.06,0.07,14,0.05,,,,,,,,,,,
0,private,0,REJ,0.06,0.01,3,0.01,,,,,,,,,,,
0,systat,0,S0,0.07,0.08,20,0.08,,,,,,,,,,,
0,other,0,REJ,1,0,1,0,,,,,,,,,,,
0,private,0,RSTO,0.07,0.01,1,0,,,,,,,,,,,
162,ftp,601,SF,0,1,43,0.17,,,,,,,,,,,
0,imap4,0,S0,0.07,0.08,9,0.04,,,,,,,,,,,
0,private,0,S0,0.06,0.03,7,0.03,,,,,,,,,,,
158,ftp,595,SF,0,1,4,0.02,,,,,,,,,,,
313,http,8558,SF,0,1,255,1,,,,,,,,,,,
0,private,0,S0,0.11,0.03,5,0.02,,,,,,,,,,,
0,telnet,44,SF,0,1,187,0.73,,,,,,,,,,,
285,http,26746,SF,0,1,255,1,,,,,,,,,,,
0,private,0,REJ,0.07,0.01,2,0.01,,,,,,,,,,,
0,private,0,REJ,0.06,0.05,14,0.05,,,,,,,,,,,
69644,http,0,RSTR,0,1,237,0.93,,,,,,,,,,,
293,http,771,SF,0,1,255,1,,,,,,,,,,,
0,private,0,REJ,1,0,1,0,,,,,,,,,,,
0,other,0,REJ,1,0,1,0,,,,,,,,,,,
121,telnet,174,SF,0,1,120,0.47,,,,,,,,,,,
4030,smtp,332,SF,0,1,102,0.56,,,,,,,,,,,
508,ecr_i,0,SF,0,1,255,1,,,,,,,,,,,
44,domain_u,44,SF,0,1,255,1,,,,,,,,,,,
274,http,11522,SF,0,1,255,1,,,,,,,,,,,
205,http,398,SF,0,1,255,1,,,,,,,,,,,
44,domain_u,44,SF,0,1,254,1,,,,,,,,,,,
26,pop_3,93,SF,0,1,246,0.96,,,,,,,,,,,
0,private,0,REJ,0.06,0.01,1,0,,,,,,,,,,,
0,link,0,REJ,0.06,0.07,17,0.07,,,,,,,,,,,
45,domain_u,45,SF,0.01,1,254,1,,,,,,,,,,,
0,private,0,REJ,0.06,0.12,17,0.07,,,,,,,,,,,
389,http,1071,SF,0,1,255,1,,,,,,,,,,,
0,telnet,44,SF,0,1,190,0.75,,,,,,,,,,,
0,finger,0,RSTO,0.06,0.06,13,0.05,,,,,,,,,,,
22568,smtp,337,SF,0,1,178,0.77,,,,,,,,,,,
321,http,3413,SF,0,1,255,1,,,,,,,,,,,
44,domain_u,44,SF,0,1,240,0.94,,,,,,,,,,,
360,ftp,1172,SF,0,1,89,0.35,,,,,,,,,,,
26,ftp,157,SF,0,1,107,0.49,,,,,,,,,,,
0,Z39_50,0,REJ,0.07,0.02,4,0.02,,,,,,,,,,,
105,private,146,SF,0,1,191,0.99,,,,,,,,,,,
0,telnet,15,RSTO,0,1,87,0.34,,,,,,,,,,,
217,http,668,SF,0,1,231,1,,,,,,,,,,,
0,http,0,S0,0,1,255,1,,,,,,,,,,,
197,http,6356,SF,0,1,255,1,,,,,,,,,,,
280,http,303,SF,0,1,250,0.98,,,,,,,,,,,
0,other,0,REJ,1,0,1,0,,,,,,,,,,,
0,whois,0,REJ,0.07,0.04,9,0.04,,,,,,,,,,,
0,telnet,44,S3,0,1,141,0.55,,,,,,,,,,,
353,http,1203,SF,0,1,255,1,,,,,,,,,,,
245,http,351,SF,0,1,255,1,,,,,,,,,,,
72564,http,0,RSTR,0,1,244,0.96,,,,,,,,,,,
12,ftp_data,0,SF,0,1,7,1,,,,,,,,,,,
326,http,3942,SF,0,1,255,1,,,,,,,,,,,
276,http,1183,SF,0,1,172,1,,,,,,,,,,,
105,private,0,SF,0,1,51,0.98,,,,,,,,,,,
1008,ecr_i,0,SF,0,1,255,1,,,,,,,,,,,
283,http,3160,SF,0,1,255,1,,,,,,,,,,,
33,domain_u,0,SF,0,1,11,0.04,,,,,,,,,,,
227,http,1699,SF,0,1,255,1,,,,,,,,,,,
43,private,0,SF,0,1,255,1,,,,,,,,,,,
211,http,14210,SF,0,1,255,1,,,,,,,,,,,
230,http,327,SF,0,1,255,1,,,,,,,,,,,
53,private,50,SF,0,1,255,1,,,,,,,,,,,
0,private,0,REJ,0.07,0.02,3,0.01,,,,,,,,,,,
258,http,2007,SF,0,1,255,1,,,,,,,,,,,
54540,http,8314,SF,0,1,254,1,,,,,,,,,,,
276,http,1973,SF,0,1,255,1,,,,,,,,,,,
0,private,0,S0,0.05,0.07,11,0.19,,,,,,,,,,,
44,domain_u,71,SF,0.01,0.99,254,1,,,,,,,,,,,
234,http,773,SF,0,1,255,1,,,,,,,,,,,
53,private,53,SF,0,1,255,1,,,,,,,,,,,
0,sunrpc,0,REJ,0,1,11,0.04,,,,,,,,,,,
12,ftp_data,0,SF,0,1,7,0.88,,,,,,,,,,,
306,http,55311,SF,0,1,255,1,,,,,,,,,,,
0,auth,0,REJ,0.06,0.05,10,0.04,,,,,,,,,,,
1480,ecr_i,0,SF,0,1,39,1,,,,,,,,,,,
0,http,0,S0,0,1,255,1,,,,,,,,,,,
53,private,50,SF,0,1,255,1,,,,,,,,,,,
57964,http,0,RSTR,0,1,255,1,,,,,,,,,,,
0,telnet,0,SF,0,1,128,0.5,,,,,,,,,,,
1376,smtp,343,SF,0,1,65,0.68,,,,,,,,,,,
44,domain_u,44,SF,0,1,254,1,,,,,,,,,,,
0,http,0,S0,0,1,255,1,,,,,,,,,,,
0,private,0,REJ,0.07,0.1,12,0.05,,,,,,,,,,,
0,private,0,S0,0.07,0.09,11,0.04,,,,,,,,,,,
175,http,1724,SF,0,1,210,0.82,,,,,,,,,,,
164,ftp,599,SF,0,1,16,0.06,,,,,,,,,,,
0,private,0,S0,0.07,0.01,2,0.01,,,,,,,,,,,
0,netbios_dgm,0,S0,0.07,0.01,2,0.01,,,,,,,,,,,
342,http,665,SF,0,1,255,1,,,,,,,,,,,
1500,smtp,332,SF,0,1,218,0.82,,,,,,,,,,,
1710,smtp,366,SF,0,1,142,0.56,,,,,,,,,,,
28,pop_3,93,SF,0,1,129,0.88,,,,,,,,,,,
140,http,4267,SF,0,1,255,1,,,,,,,,,,,
0,private,0,S0,0.08,0.09,17,0.07,,,,,,,,,,,
0,other,0,REJ,1,0,1,0,,,,,,,,,,,
0,telnet,0,S0,0,1,3,0.43,,,,,,,,,,,
245,http,4461,SF,0,1,255,1,,,,,,,,,,,
164,ftp,599,SF,0,1,14,0.05,,,,,,,,,,,
235,http,12823,SF,0,1,255,1,,,,,,,,,,,
353,http,4627,SF,0,1,255,1,,,,,,,,,,,
12,ftp_data,0,SF,0,1,5,0.23,,,,,,,,,,,
265,http,3528,SF,0,1,179,1,,,,,,,,,,,
0,private,0,REJ,0.06,0.08,19,0.14,,,,,,,,,,,
0,telnet,0,RSTO,0.06,0.06,17,0.07,,,,,,,,,,,
0,private,0,S0,0.06,0.05,16,0.06,,,,,,,,,,,
26,ftp,157,SF,0,1,85,0.47,,,,,,,,,,,
44,domain_u,44,SF,0.4,0.8,212,0.83,,,,,,,,,,,
328,http,2404,SF,0,1,255,1,,,,,,,,,,,
18,eco_i,0,SF,0,1,50,1,,,,,,,,,,,
0,uucp_path,0,REJ,0.08,0.07,15,0.06,,,,,,,,,,,
347,http,521,SF,0,1,255,1,,,,,,,,,,,
0,private,0,S0,0.06,0.08,17,0.07,,,,,,,,,,,
0,private,0,RSTR,0,1,1,0.01,,,,,,,,,,,
0,private,0,REJ,0.06,0.12,17,0.07,,,,,,,,,,,
52,private,55,SF,0,1,255,1,,,,,,,,,,,
0,telnet,0,REJ,0,1,14,0.02,,,,,,,,,,,
268,http,16193,SF,0,1,255,1,,,,,,,,,,,
0,private,0,RSTO,0.06,0.12,17,0.07,,,,,,,,,,,
0,private,0,REJ,0.07,0.09,19,0.07,,,,,,,,,,,
46,private,51,SF,0,1,255,1,,,,,,,,,,,
283618,ftp_data,0,SF,0,1,9,0.14,,,,,,,,,,,
12,ftp_data,0,SF,0,1,15,0.88,,,,,,,,,,,
0,imap4,0,S0,0,1,86,0.34,,,,,,,,,,,
0,finger,0,S0,0.06,0.06,16,0.06,,,,,,,,,,,
205,http,655,SF,0,1,255,1,,,,,,,,,,,
158,ftp,595,SF,0,1,16,0.06,,,,,,,,,,,
0,private,0,REJ,0.08,0.01,2,0.01,,,,,,,,,,,
238,http,780,SF,0,1,98,1,,,,,,,,,,,
0,telnet,44,S3,0,1,60,0.24,,,,,,,,,,,
256,http,22095,SF,0,1,255,1,,,,,,,,,,,
0,other,0,REJ,1,0.5,1,0,,,,,,,,,,,
0,pop_3,36,RSTO,0,1,59,0.24,,,,,,,,,,,
245,http,3258,SF,0,1,255,1,,,,,,,,,,,
362,http,677,SF,0,1,231,1,,,,,,,,,,,
54,private,53,SF,0,1,255,1,,,,,,,,,,,
0,sunrpc,0,REJ,1,0.33,17,0.07,,,,,,,,,,,
328,http,2433,SF,0,1,255,1,,,,,,,,,,,
0,vmnet,0,REJ,0.06,0.06,16,0.06,,,,,,,,,,,
163,http,12206,SF,0,1,255,1,,,,,,,,,,,
0,private,0,REJ,0.06,0.04,8,0.03,,,,,,,,,,,
54540,http,8315,S2,0,1,254,1,,,,,,,,,,,
105,private,146,SF,0,1,99,0.99,,,,,,,,,,,
32,pop_3,93,SF,0,1,8,1,,,,,,,,,,,
53,private,51,SF,0,1,255,1,,,,,,,,,,,
204,http,1762,SF,0,1,255,1,,,,,,,,,,,
0,other,0,REJ,1,0,1,0,,,,,,,,,,,
162,ftp,597,SF,0,1,30,0.12,,,,,,,,,,,
0,private,0,REJ,0.07,0.07,16,0.06,,,,,,,,,,,
0,domain,0,S0,0.09,0.09,14,0.05,,,,,,,,,,,
0,other,0,REJ,1,0,1,0,,,,,,,,,,,
316,http,817,SF,0,1,255,1,,,,,,,,,,,
52,private,55,SF,0,1,255,1,,,,,,,,,,,
373,http,432,SF,0,1,255,1,,,,,,,,,,,
6932,ftp_data,0,SF,0,1,5,0.14,,,,,,,,,,,
0,private,0,REJ,0.06,0.06,12,0.05,,,,,,,,,,,
32,pop_3,93,SF,0,1,171,0.67,,,,,,,,,,,
232,http,259,SF,0,1,255,1,,,,,,,,,,,
0,private,0,REJ,0.05,0.15,20,0.08,,,,,,,,,,,
251,http,2984,SF,0,1,255,1,,,,,,,,,,,
287,http,593,SF,0,1,255,1,,,,,,,,,,,
1055,smtp,364,SF,0,1,192,0.81,,,,,,,,,,,
286,http,920,SF,0,1,255,1,,,,,,,,,,,
0,private,0,REJ,0.06,0.1,14,0.05,,,,,,,,,,,
321,http,622,SF,0,1,255,1,,,,,,,,,,,
283618,ftp_data,0,SF,0,1,12,1,,,,,,,,,,,
1032,ecr_i,0,SF,0,1,255,1,,,,,,,,,,,
122,telnet,174,SF,0,1,182,0.71,,,,,,,,,,,
0,imap4,44,RSTO,1,0.5,59,0.23,,,,,,,,,,,
0,private,0,REJ,0.06,0.04,11,0.04,,,,,,,,,,,
0,http,0,REJ,0.06,0.08,20,0.08,,,,,,,,,,,
2,private,834163,S1,0,1,2,0.01,,,,,,,,,,,
0,private,0,REJ,0.06,0.03,5,0.02,,,,,,,,,,,
22,domain_u,75,SF,0.67,0.67,134,0.95,,,,,,,,,,,
0,netbios_ns,0,REJ,0.07,0.02,2,0.01,,,,,,,,,,,
223,http,8620,SF,0,1,255,1,,,,,,,,,,,
237,http,4228,SF,0,1,255,1,,,,,,,,,,,
45,private,44,SF,0,1,255,1,,,,,,,,,,,
0,private,0,REJ,0.07,0.04,9,0.04,,,,,,,,,,,
0,private,0,REJ,0.86,0.01,1,0.01,,,,,,,,,,,
0,pop_3,0,REJ,1,0.33,12,0.05,,,,,,,,,,,
0,http,0,S0,0,1,245,0.96,,,,,,,,,,,
301,http,6085,SF,0,1,255,1,,,,,,,,,,,
44,domain_u,71,SF,0.01,0.99,255,1,,,,,,,,,,,
54540,http,8314,SF,0,1,242,0.95,,,,,,,,,,,
1,private,1,SF,0.63,0.01,1,0,,,,,,,,,,,
24,telnet,715,SF,0.75,0.5,53,0.21,,,,,,,,,,,
